User,Tweets,Link to Tweet,Date/Time
@realDonaldTrump,When will Sleepy Eyes Chuck Todd and @NBCNews start talking about the Obama SURVEILLANCE SCANDAL and stop with the Fake Trump/Russia story?,http://twitter.com/realDonaldTrump/status/848153860602507264,"April 01, 2017 at 08:43AM"
@realDonaldTrump,"It is the same Fake News Media that said there is ""no path to victory for Trump"" that is now pushing the phony Russia story. A total scam!",http://twitter.com/realDonaldTrump/status/848158641056362496,"April 01, 2017 at 09:02AM"
@realDonaldTrump,RT @DanScavino: .@POTUS @realDonaldTrump signs executive orders on trade that will set the stage for revival in American manufactur… https://t.co/FpuBTHCltT,http://twitter.com/realDonaldTrump/status/848197060625145856,"April 01, 2017 at 11:35AM"
@realDonaldTrump,"The failing @nytimes finally gets it - ""In places where no insurance company offers plans, there will be no way for ObamaCare customers to..",http://twitter.com/realDonaldTrump/status/848203201094483972,"April 01, 2017 at 11:59AM"
@realDonaldTrump,"...use subsidies to buy health plans."" In other words, Ocare is dead. Good things will happen, however, either with Republicans or Dems.",http://twitter.com/realDonaldTrump/status/848204870876356608,"April 01, 2017 at 12:06PM"
@realDonaldTrump,"Wow, @FoxNews just reporting big news. Source: ""Official behind unmasking is high up. Known Intel official is responsible. Some unmasked....",http://twitter.com/realDonaldTrump/status/848216035153121285,"April 01, 2017 at 12:50PM"
@realDonaldTrump,"..not associated with Russia. Trump team spied on before he was nominated."" If this is true, does not get much bigger. Would be sad for U.S.",http://twitter.com/realDonaldTrump/status/848219027659010051,"April 01, 2017 at 01:02PM"
@realDonaldTrump,Thank you @JCLayfield -- will get even better as my Administration continues to put #AmericaFirst🇺🇸 https://t.co/AQQzmt10x7,http://twitter.com/realDonaldTrump/status/848299191646515202,"April 01, 2017 at 06:21PM"
@realDonaldTrump,Anybody (especially  Fake News media) who thinks that Repeal &amp; Replace of ObamaCare is dead does not know the love and strength in R Party!,http://twitter.com/realDonaldTrump/status/848519587675201538,"April 02, 2017 at 08:56AM"
@realDonaldTrump,"Talks on Repealing and Replacing ObamaCare are, and have been, going on, and will continue until such time as a deal is hopefully struck.",http://twitter.com/realDonaldTrump/status/848521325480202240,"April 02, 2017 at 09:03AM"
@realDonaldTrump,The real story turns out to be SURVEILLANCE and LEAKING! Find the leakers.,http://twitter.com/realDonaldTrump/status/848529014667055105,"April 02, 2017 at 09:34AM"
@realDonaldTrump,"Melania and I are honored to light up the @WhiteHouse this evening, for 
#WorldAutismAwarenessDay. Join us &amp; #LIUB.… https://t.co/tR3hqqyWvv",http://twitter.com/realDonaldTrump/status/848701201315188736,"April 02, 2017 at 08:58PM"
@realDonaldTrump,"Such amazing reporting on unmasking and the crooked scheme against us by @foxandfriends. ""Spied on before nomination."" The real story.",http://twitter.com/realDonaldTrump/status/848841326183534594,"April 03, 2017 at 06:15AM"
@realDonaldTrump,Was the brother of John Podesta paid big money to get the sanctions on Russia lifted? Did Hillary know?,http://twitter.com/realDonaldTrump/status/848856822312292354,"April 03, 2017 at 07:16AM"
@realDonaldTrump,Did Hillary Clinton ever apologize for receiving the answers to the debate? Just asking!,http://twitter.com/realDonaldTrump/status/848857910297980928,"April 03, 2017 at 07:21AM"
@realDonaldTrump,".@FoxNews from multiple sources: ""There was electronic surveillance of Trump, and people close to Trump. This is unprecedented."" @FBI",http://twitter.com/realDonaldTrump/status/848880519458717698,"April 03, 2017 at 08:51AM"
@realDonaldTrump,"Getting ready to meet President al-Sisi of Egypt. On behalf of the United States, I look forward to a long and wonderful relationship.",http://twitter.com/realDonaldTrump/status/848928217138384896,"April 03, 2017 at 12:00PM"
@realDonaldTrump,Looking forward to hosting our heroes from the Wounded Warrior Project (@WWP) Soldier Ride to the @WhiteHouse on Th… https://t.co/QLC0qFD94x,http://twitter.com/realDonaldTrump/status/848957498040217603,"April 03, 2017 at 01:56PM"
@realDonaldTrump,It was an honor to welcome President Al Sisi of Egypt to the @WhiteHouse as we renew the historic partnership betwe… https://t.co/9mRaGvcPHz,http://twitter.com/realDonaldTrump/status/848983209580822529,"April 03, 2017 at 03:39PM"
@realDonaldTrump,RT @DRUDGE_REPORT: RICE ORDERED SPY DOCS ON TRUMP? https://t.co/bL2nZRFxk9,http://twitter.com/realDonaldTrump/status/849239946653290496,"April 04, 2017 at 08:39AM"
@realDonaldTrump,".@WhiteHouse #CEOTownHall
➡️https://t.co/ADSKuUXf1b https://t.co/XHfQ6zmF2H",http://twitter.com/realDonaldTrump/status/849330281412792320,"April 04, 2017 at 02:38PM"
@realDonaldTrump,Thank you Sean McGarvey &amp; the entire Governing Board of Presidents for honoring me w/an invite to speak. #NABTU2017… https://t.co/dJlZvlq6Tj,http://twitter.com/realDonaldTrump/status/849345573509574665,"April 04, 2017 at 03:38PM"
@realDonaldTrump,Great to talk jobs with #NABTU2017. Tremendous spirit &amp; optimism - we will deliver! https://t.co/6lRuQZZHrc,http://twitter.com/realDonaldTrump/status/849366930133839872,"April 04, 2017 at 05:03PM"
@realDonaldTrump,I am deeply committed to preserving our strong relationship &amp; to strengthening America's long-standing support for… https://t.co/GxrOR3ALCE,http://twitter.com/realDonaldTrump/status/849732911377117185,"April 05, 2017 at 05:18PM"
@realDonaldTrump,"JOBS, JOBS, JOBS!
https://t.co/XGOQPHywrt https://t.co/B5Qbn6llzE",http://twitter.com/realDonaldTrump/status/849807049118625792,"April 05, 2017 at 10:12PM"
@realDonaldTrump,"It was an honor to host our American heroes from the @WWP #SoldierRideDC at the @WhiteHouse today with @FLOTUS, @VP… https://t.co/u5AI1pupVV",http://twitter.com/realDonaldTrump/status/850053194923298816,"April 06, 2017 at 02:30PM"
@realDonaldTrump,RT @IvankaTrump: Very proud of Arabella and Joseph for their performance in honor of President Xi Jinping and Madame Peng Liyuan's o… https://t.co/UEc9UsSB97,http://twitter.com/realDonaldTrump/status/850489084221018113,"April 07, 2017 at 07:22PM"
@realDonaldTrump,It was a great honor to have President Xi Jinping and Madame Peng Liyuan of China as our guests in the United States. Tremendous...,http://twitter.com/realDonaldTrump/status/850722648883638272,"April 08, 2017 at 10:50AM"
@realDonaldTrump,"...goodwill and friendship was formed, but only time will tell on trade.",http://twitter.com/realDonaldTrump/status/850722694958075905,"April 08, 2017 at 10:51AM"
@realDonaldTrump,"Congratulations to our great military men and women for representing the United States, and the world, so well in the Syria attack.",http://twitter.com/realDonaldTrump/status/850723509370327040,"April 08, 2017 at 10:54AM"
@realDonaldTrump,The reason you don't generally hit runways is that they are easy and inexpensive to quickly fix (fill in and top)!,http://twitter.com/realDonaldTrump/status/850785347038576640,"April 08, 2017 at 03:00PM"
@realDonaldTrump,Judge Gorsuch will be sworn in at the Rose Garden of the White House on Monday at 11:00 A.M. He will be a great Justice. Very proud of him!,http://twitter.com/realDonaldTrump/status/850800045012201473,"April 08, 2017 at 03:58PM"
@realDonaldTrump,So sad to hear of the terrorist attack in Egypt. U.S. strongly condemns. I have great...,http://twitter.com/realDonaldTrump/status/851092500056072198,"April 09, 2017 at 11:20AM"
@realDonaldTrump,...confidence that President Al Sisi will handle situation properly.,http://twitter.com/realDonaldTrump/status/851092618754891781,"April 09, 2017 at 11:21AM"
@realDonaldTrump,Thank you @USNavy! #USA https://t.co/oD7L8vPgjq,http://twitter.com/realDonaldTrump/status/851247294854856706,"April 09, 2017 at 09:35PM"
@realDonaldTrump,Congratulations to Justice Neil Gorsuch on his elevation to the United States Supreme Court. A great day for Americ… https://t.co/RM9lfTaePS,http://twitter.com/realDonaldTrump/status/851555178910064640,"April 10, 2017 at 05:59PM"
@realDonaldTrump,"Happy Passover to everyone celebrating in the United States of America, Israel, and around the world. #ChagSameach",http://twitter.com/realDonaldTrump/status/851584729400979456,"April 10, 2017 at 07:56PM"
@realDonaldTrump,RT @foxnation: Grateful Syrians React To @realDonaldTrump Strike: 'I'll Name My Son Donald' https://t.co/7KexXsXLUx #SyrianStrikes,http://twitter.com/realDonaldTrump/status/851763890786635776,"April 11, 2017 at 07:48AM"
@realDonaldTrump,I explained to the President of China that a trade deal with the U.S. will be far better for them if they solve the North Korean problem!,http://twitter.com/realDonaldTrump/status/851766546825347076,"April 11, 2017 at 07:59AM"
@realDonaldTrump,"North Korea is looking for trouble. If China decides to help, that would be great. If not, we will solve the problem without them!  U.S.A.",http://twitter.com/realDonaldTrump/status/851767718248361986,"April 11, 2017 at 08:03AM"
@realDonaldTrump,"Ron Estes is running TODAY for Congress in the Great State of Kansas. A wonderful guy, I need his help on Healthcare &amp; Tax Cuts (Reform).",http://twitter.com/realDonaldTrump/status/851781714028494849,"April 11, 2017 at 08:59AM"
@realDonaldTrump,Great Strategic &amp; Policy CEO Forum today with my Cabinet Secretaries and top CEO's from around the United States.… https://t.co/pmGIL08OpP,http://twitter.com/realDonaldTrump/status/851894518014238720,"April 11, 2017 at 04:27PM"
@realDonaldTrump,I will be interviewed by @MariaBartiromo at 6:00 A.M. @FoxBusiness. Enjoy!,http://twitter.com/realDonaldTrump/status/851997299454742528,"April 11, 2017 at 11:16PM"
@realDonaldTrump,Had a very good call last night with the President of China concerning the menace of North Korea.,http://twitter.com/realDonaldTrump/status/852134796436398086,"April 12, 2017 at 08:22AM"
@realDonaldTrump,"Great win in Kansas last night for Ron Estes, easily winning the Congressional race against the Dems, who spent heavily &amp; predicted victory!",http://twitter.com/realDonaldTrump/status/852138509355933697,"April 12, 2017 at 08:37AM"
